City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
153,Saint George,US,2021-04-13 19:24:13,37.1041,-113.5841,78.01,14,1,13.6
154,Airai,TL,2021-04-13 19:24:14,-8.9266,125.4092,57.42,80,25,1.86
155,Yambio,SS,2021-04-13 19:24:14,4.5721,28.3955,68.61,94,100,4.56
156,Bluff,NZ,2021-04-13 19:24:14,-46.6,168.3333,51.01,96,100,5.99
157,Maraa,BR,2021-04-13 19:24:15,-1.8333,-65.3667,81.7,87,99,2.73
158,Mobaye,CF,2021-04-13 19:24:15,4.319,21.1786,72.9,78,56,6.26
159,Carnarvon,AU,2021-04-13 19:24:15,-24.8667,113.6333,70.0,45,0,24.81
160,Cabo San Lucas,MX,2021-04-13 19:21:06,22.8909,-109.9124,84.2,21,1,11.5
161,San Cristobal,VE,2021-04-13 19:24:16,7.7669,-72.225,98.6,28,40,17.27
162,Havoysund,NO,2021-04-13 19:22:11,70.9963,24.6622,32.0,64,75,9.22
163,Pauini,BR,2021-04-13 19:24:16,-7.7136,-66.9764,86.63,60,53,4.61
164,Ravar,IR,2021-04-13 19:24:16,31.2656,56.8055,72.88,28,100,4.7
165,Nikolskoye,RU,2021-04-13 19:24:17,59.7035,30.7861,42.01,65,0,15.66
166,Gamba,GA,2021-04-13 19:24:17,-2.65,10.0,79.93,84,100,5.46
167,Porto Belo,BR,2021-04-13 19:24:17,-27.1578,-48.5531,79.0,53,20,9.22
168,San Andres,CO,2021-04-13 19:19:42,12.5847,-81.7006,87.8,70,40,12.66
169,Amapa,BR,2021-04-13 19:24:18,1.0,-52.0,73.35,98,100,3.74
170,Xining,CN,2021-04-13 19:24:18,36.6167,101.7667,35.33,74,100,1.52
171,Oistins,BB,2021-04-13 19:24:18,13.0667,-59.5333,84.2,65,40,13.8
172,Kizukuri,JP,2021-04-13 19:24:19,40.8061,140.3861,46.99,83,100,4.0
173,Cururupu,BR,2021-04-13 19:24:19,-1.8283,-44.8683,83.8,71,100,6.67
174,Bay City,US,2021-04-13 19:24:19,43.5945,-83.8889,62.6,27,1,21.85
175,Alofi,NU,2021-04-13 19:24:20,-19.0595,-169.9187,73.4,94,40,2.3
176,Kokopo,PG,2021-04-13 19:24:20,-4.352,152.2633,75.54,69,97,4.97
177,Mayo,US,2021-04-13 19:24:20,38.8876,-76.5119,62.01,72,75,9.22
178,Coihaique,CL,2021-04-13 19:20:56,-45.5752,-72.0662,66.2,63,75,8.05
179,Nantucket,US,2021-04-13 19:23:51,41.2835,-70.0995,50.0,66,90,24.16
180,Saint-Leu,RE,2021-04-13 19:24:21,-21.15,55.2833,78.8,73,0,4.61
181,Tasiilaq,GL,2021-04-13 19:24:21,65.6145,-37.6368,33.8,75,20,6.91
182,Broome,US,2021-04-13 19:24:21,42.2506,-75.833,63.0,49,8,3.0
183,Batagay,RU,2021-04-13 19:24:22,67.6333,134.6333,-9.22,96,64,4.23
184,Udachnyy,RU,2021-04-13 19:24:22,66.4167,112.4,17.49,90,100,9.01
185,Ixtapa,MX,2021-04-13 19:24:22,20.7,-105.2,80.6,69,1,12.66
186,Nsawam,GH,2021-04-13 19:24:23,5.8089,-0.3503,84.2,79,20,11.5
187,Liwale,TZ,2021-04-13 19:24:23,-9.7667,37.9333,69.17,97,100,3.96
188,Ishigaki,JP,2021-04-13 19:24:23,24.3448,124.1572,73.83,86,97,15.3
189,Kodiak,US,2021-04-13 19:24:24,57.79,-152.4072,39.2,81,90,9.22
190,Cidreira,BR,2021-04-13 19:24:24,-30.1811,-50.2056,73.11,56,12,8.12
191,Kasongo-Lunda,CD,2021-04-13 19:24:24,-6.4667,16.8167,71.24,95,91,0.96
192,Majene,ID,2021-04-13 19:24:24,-3.5403,118.9707,76.77,87,100,3.04
193,Lodwar,KE,2021-04-13 19:24:25,3.1191,35.5973,88.0,40,91,9.1
194,Torbay,CA,2021-04-13 19:24:25,47.6666,-52.7314,37.99,93,90,32.21
195,Iquique,CL,2021-04-13 19:24:26,-20.2208,-70.1431,69.8,64,0,12.66
196,Saint-Pierre,RE,2021-04-13 19:24:26,-21.3393,55.4781,78.8,73,0,4.61
197,Ilulissat,GL,2021-04-13 19:24:26,69.2167,-51.1,28.4,93,75,12.66
198,Opuwo,NA,2021-04-13 19:24:26,-18.0607,13.84,72.63,31,2,7.7
199,Zabaykalsk,RU,2021-04-13 19:24:27,49.6333,117.3167,24.46,23,58,8.34
200,La Ronge,CA,2021-04-13 19:24:27,55.1001,-105.2842,33.8,29,92,6.91
201,Georgetown,MY,2021-04-13 19:24:27,5.4112,100.3354,79.0,88,20,2.3
202,Olga,RU,2021-04-13 19:24:28,43.7444,135.2892,30.78,45,92,9.95
203,Pachino,IT,2021-04-13 19:24:28,36.7186,15.0907,53.6,87,7,4.61
204,Lasa,IT,2021-04-13 19:24:28,46.6166,10.7002,48.2,54,0,10.36
205,Ondjiva,AO,2021-04-13 19:24:29,-17.0667,15.7333,73.72,33,76,6.62
206,Khatanga,RU,2021-04-13 19:24:29,71.9667,102.5,22.23,94,100,15.99
207,Hasaki,JP,2021-04-13 19:24:29,35.7333,140.8333,62.6,94,75,10.36
208,Kahului,US,2021-04-13 19:24:30,20.8947,-156.47,75.2,69,40,11.5
209,Beringovskiy,RU,2021-04-13 19:24:30,63.05,179.3167,8.6,91,98,12.06
210,Zhanjiang,CN,2021-04-13 19:24:30,21.2815,110.3427,75.74,86,54,7.9
211,Guerrero Negro,MX,2021-04-13 19:24:30,27.9769,-114.0611,65.32,56,1,16.89
212,Kongoussi,BF,2021-04-13 19:20:14,13.3258,-1.5347,97.75,15,73,0.2
213,Kushima,JP,2021-04-13 19:24:31,31.4583,131.2333,53.49,84,12,9.4
214,Cap-Aux-Meules,CA,2021-04-13 19:24:31,47.3821,-61.8597,41.0,75,14,32.21
215,Bonavista,CA,2021-04-13 19:24:31,48.6499,-53.1147,39.2,81,18,8.05
216,Jacqueville,CI,2021-04-13 19:24:32,5.2052,-4.4146,86.0,79,20,8.05
217,Creel,MX,2021-04-13 19:24:32,27.75,-107.6333,69.04,10,0,16.08
218,Tuatapere,NZ,2021-04-13 19:24:32,-46.1333,167.6833,51.01,96,100,5.99
219,Mikkeli,FI,2021-04-13 19:24:33,61.6886,27.2723,41.0,75,0,3.44
220,Butaritari,KI,2021-04-13 19:24:33,3.0707,172.7902,82.18,75,100,10.45
221,Pisco,PE,2021-04-13 19:24:33,-13.7,-76.2167,71.6,68,0,10.36
222,Iqaluit,CA,2021-04-13 19:23:19,63.7506,-68.5145,21.2,73,90,23.02
223,Makushino,RU,2021-04-13 19:24:34,55.2103,67.2442,35.46,95,53,9.57
224,Touros,BR,2021-04-13 19:24:34,-5.1989,-35.4608,86.0,66,40,17.27
225,Augusta,DE,2021-04-13 19:24:35,48.3667,10.8833,37.4,64,0,4.61
226,Stornoway,GB,2021-04-13 19:24:35,58.2093,-6.3865,45.0,87,100,1.14
227,Ribeira Grande,PT,2021-04-13 19:24:35,38.5167,-28.7,62.6,94,75,17.27
228,Biak,ID,2021-04-13 19:24:36,-0.9131,122.8766,75.76,83,97,4.41
229,Husavik,IS,2021-04-13 19:24:36,66.0449,-17.3389,46.4,49,20,13.8
230,Lompoc,US,2021-04-13 19:24:36,34.6391,-120.4579,55.0,71,15,12.12
231,Portland,US,2021-04-13 19:24:22,45.5234,-122.6762,62.01,20,1,12.66
232,Causapscal,CA,2021-04-13 19:24:37,48.3542,-67.227,55.51,44,5,5.28
233,Cherskiy,RU,2021-04-13 19:24:37,68.75,161.3,-17.95,99,93,4.59
234,Codrington,AU,2021-04-13 19:24:37,-38.2667,141.9667,54.99,77,1,15.28
235,Dudinka,RU,2021-04-13 19:24:38,69.4058,86.1778,21.83,93,100,13.65
236,Barra Patuca,HN,2021-04-13 19:24:38,15.8,-84.2833,84.99,65,100,12.35
237,Sicamous,CA,2021-04-13 19:24:38,50.8331,-118.9856,55.0,34,0,4.61
238,Tiksi,RU,2021-04-13 19:24:39,71.6872,128.8694,11.73,78,89,11.88
239,Los Llanos De Aridane,ES,2021-04-13 19:24:39,28.6585,-17.9182,71.6,78,20,3.44
240,Tatawin,TN,2021-04-13 19:23:10,32.9297,10.4518,60.8,41,30,8.05
241,Vytegra,RU,2021-04-13 19:24:39,61.0064,36.4481,45.64,98,100,4.43
242,Poum,NC,2021-04-13 19:24:40,-20.2333,164.0167,77.72,84,100,17.29
243,La Valette-Du-Var,FR,2021-04-13 19:24:40,43.1374,5.9831,55.0,71,0,3.44
244,Bocas Del Toro,PA,2021-04-13 19:24:40,9.3333,-82.25,77.0,46,79,5.01
245,College,US,2021-04-13 19:23:01,64.8569,-147.8028,39.2,56,75,1.43
246,Tsabong,BW,2021-04-13 19:24:41,-26.0217,22.401,77.09,28,0,9.04
247,Padang,ID,2021-04-13 19:24:41,-0.9492,100.3543,77.88,87,99,2.13
248,Monrovia,LR,2021-04-13 19:24:42,6.3005,-10.7969,84.2,84,75,11.5
249,Diffa,NE,2021-04-13 19:24:42,13.3154,12.6113,88.25,6,9,8.12
250,San Patricio,US,2021-04-13 19:24:42,28.017,-97.5169,88.0,74,75,11.5
251,Mocuba,MZ,2021-04-13 19:24:42,-16.8392,36.9856,69.01,95,71,2.89
252,Boueni,YT,2021-04-13 19:24:43,-12.9025,45.0761,78.8,94,100,5.75
253,Provideniya,RU,2021-04-13 19:24:43,64.3833,-173.3,18.09,93,100,13.76
254,Nome,US,2021-04-13 19:24:43,64.5011,-165.4064,32.0,93,90,12.66
255,Roebourne,AU,2021-04-13 19:24:44,-20.7833,117.1333,80.62,74,100,13.15
256,Rovaniemi,FI,2021-04-13 19:24:44,66.5,25.7167,32.0,93,90,12.66
257,Carmen,MX,2021-04-13 19:20:25,18.6333,-91.8333,96.8,46,1,10.36
258,Yaan,NG,2021-04-13 19:24:44,7.3833,8.5667,88.23,50,100,6.11
259,Port Elizabeth,ZA,2021-04-13 19:24:45,-33.918,25.5701,71.6,94,90,4.61
260,Sobolevo,RU,2021-04-13 19:24:45,54.4299,31.8996,51.69,90,100,4.65
261,Callaway,US,2021-04-13 19:24:45,30.153,-85.5699,82.0,47,20,13.8
262,Tommot,RU,2021-04-13 19:24:46,58.9564,126.2925,-0.17,98,44,2.77
263,Kodinsk,RU,2021-04-13 19:24:46,58.6881,99.1844,29.35,91,100,9.06
264,Longyearbyen,SJ,2021-04-13 19:24:46,78.2186,15.6401,8.6,61,20,20.71
265,Andrelandia,BR,2021-04-13 19:24:47,-21.7397,-44.3092,69.71,82,72,6.53
266,Bengkulu,ID,2021-04-13 19:24:47,-3.8004,102.2655,76.68,90,100,3.09
267,Benghazi,LY,2021-04-13 19:22:15,32.1167,20.0667,68.74,46,100,11.61
268,Souillac,MU,2021-04-13 19:24:47,-20.5167,57.5167,78.8,83,75,5.75
269,Haines Junction,CA,2021-04-13 19:24:48,60.7522,-137.5108,37.4,52,95,4.61
270,Tomatlan,MX,2021-04-13 19:24:48,19.9333,-105.25,89.64,37,0,9.86
271,Kruisfontein,ZA,2021-04-13 19:24:48,-34.0033,24.7314,66.0,93,11,1.99
272,Victoria,HK,2021-04-13 19:24:49,22.2855,114.1577,77.0,88,13,1.01
273,Milas,TR,2021-04-13 19:24:49,37.3164,27.7839,55.4,82,0,5.75
274,Kerrville,US,2021-04-13 19:24:49,30.0474,-99.1403,78.8,53,90,9.22
275,Miyako,JP,2021-04-13 19:24:50,39.6367,141.9525,53.04,92,15,3.8
276,Yeppoon,AU,2021-04-13 19:24:50,-23.1333,150.7333,62.6,77,0,8.05
277,Namibe,AO,2021-04-13 19:24:50,-15.1961,12.1522,80.96,66,25,8.21
278,Sorland,NO,2021-04-13 19:24:51,67.667,12.6934,37.4,75,40,14.97
279,Salinas,US,2021-04-13 19:24:51,36.6777,-121.6555,57.2,62,90,14.97
280,Hearst,CA,2021-04-13 19:24:51,49.6835,-83.6665,50.0,93,100,4.61
281,Pangnirtung,CA,2021-04-13 19:24:51,66.1451,-65.7125,19.4,86,90,12.66
282,Tiznit,MA,2021-04-13 19:24:52,29.5833,-9.5,66.38,55,100,7.94
283,Bethel,US,2021-04-13 19:24:52,41.3712,-73.414,63.0,48,75,10.36
284,Keetmanshoop,NA,2021-04-13 19:24:52,-26.5833,18.1333,82.04,16,0,10.87
285,Katav-Ivanovsk,RU,2021-04-13 19:24:53,54.7531,58.1956,46.62,93,17,3.56
286,Saldanha,ZA,2021-04-13 19:24:53,-33.0117,17.9442,68.0,60,100,4.61
287,Estevan,CA,2021-04-13 19:24:53,49.1334,-102.9842,23.0,86,90,21.85
288,Acapulco,MX,2021-04-13 19:24:54,16.8634,-99.8901,86.0,66,1,5.75
289,Banepa,NP,2021-04-13 19:24:54,27.6298,85.5214,59.0,67,40,4.61
290,Russell,US,2021-04-13 19:24:54,32.3502,-85.1999,87.8,18,1,5.12
291,Hirara,JP,2021-04-13 19:24:55,24.8,125.2833,72.39,87,100,17.74
292,Aklavik,CA,2021-04-13 19:24:55,68.2191,-135.0107,28.4,54,1,2.57
293,Tongzi,CN,2021-04-13 19:24:55,28.7829,105.0877,64.38,77,100,2.37
294,Chichli,IN,2021-04-13 19:24:56,22.8333,78.8167,85.3,10,0,5.95
295,Naryan-Mar,RU,2021-04-13 19:24:56,67.6713,53.087,28.15,97,100,6.96
