City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
118,Inirida,CO,3.8653,-67.9239,81.39,80,99,2.98,overcast clouds
119,Bundaberg,AU,-24.85,152.35,64.99,94,2,4.61,clear sky
120,Dikson,RU,73.5069,80.5464,-10.16,95,100,17.87,overcast clouds
121,Touros,BR,-5.1989,-35.4608,84.2,74,40,12.66,scattered clouds
122,Paamiut,GL,61.994,-49.6678,22.59,71,99,38.45,overcast clouds
123,Lompoc,US,34.6391,-120.4579,62.01,72,2,14.97,haze
124,Kikwit,CD,-5.041,18.8162,74.28,80,48,2.19,scattered clouds
125,Beihai,CN,21.4833,109.1,76.46,88,53,12.59,broken clouds
126,Mackay,AU,-21.15,149.2,64.4,94,2,5.75,clear sky
127,Henties Bay,NA,-22.116,14.2845,76.73,52,37,4.9,scattered clouds
128,Rutana,BI,-3.8667,30.1,57.65,93,72,1.99,broken clouds
129,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.8,57,40,10.36,scattered clouds
130,Klaksvik,FO,62.2266,-6.589,44.6,100,90,16.11,overcast clouds
131,Dabat,ET,12.9842,37.765,64.24,34,98,0.83,overcast clouds
132,Tilichiki,RU,60.4667,166.1,33.67,93,100,21.14,overcast clouds
133,Ayna,PE,-12.65,-73.9167,73.4,35,20,3.44,few clouds
134,Grindavik,IS,63.8424,-22.4338,46.4,100,90,29.93,mist
135,Dauriya,RU,49.9333,116.8667,29.71,36,100,9.64,overcast clouds
136,Namibe,AO,-15.1961,12.1522,80.44,81,8,8.1,clear sky
137,Sinnamary,GF,5.3833,-52.95,80.01,83,97,15.21,overcast clouds
138,Atar,MR,20.5169,-13.0499,96.8,15,0,11.5,clear sky
139,Sabang,ID,5.8933,95.3214,83.46,70,79,7.99,broken clouds
140,Lamu,KE,-2.2717,40.902,81.05,81,91,10.22,overcast clouds
141,Svetlyy,RU,54.675,20.1347,46.4,66,90,15.66,overcast clouds
142,Nalut,LY,30.3333,10.85,82.26,17,44,20.65,scattered clouds
143,Souillac,MU,-20.5167,57.5167,77.0,94,75,8.05,moderate rain
144,Clyde River,CA,70.4692,-68.5914,6.8,72,20,25.32,snow
145,Chokurdakh,RU,70.6333,147.9167,-20.85,100,65,1.28,broken clouds
146,New Norfolk,AU,-42.7826,147.0587,44.01,85,45,3.38,scattered clouds
147,Vardo,NO,70.3705,31.1107,30.2,86,75,5.75,light snow
148,Hithadhoo,MV,-0.6,73.0833,82.36,69,57,4.7,broken clouds
149,Honiara,SB,-9.4333,159.95,77.38,83,9,2.95,clear sky
150,Faanui,PF,-16.4833,-151.75,82.2,74,21,14.16,few clouds
151,Mana,GF,5.6592,-53.7767,81.41,78,80,12.33,broken clouds
152,Geraldton,AU,-28.7667,114.6,64.4,52,2,17.27,clear sky
153,Marrakesh,MA,31.6315,-8.0083,66.2,68,75,10.36,broken clouds
154,Vilhena,BR,-12.7406,-60.1458,78.8,83,75,3.44,heavy intensity rain
155,Xiongzhou,CN,25.1167,114.3,64.92,96,88,3.2,light rain
156,Ulladulla,AU,-35.35,150.4667,57.2,54,96,10.36,overcast clouds
157,Tucson,US,32.2217,-110.9265,79.0,13,20,11.5,few clouds
158,Bogande,BF,12.9714,-0.1436,95.41,13,81,5.06,broken clouds
159,Salalah,OM,17.0151,54.0924,80.6,78,0,5.75,clear sky
160,Flinders,AU,-34.5833,150.8552,60.01,54,43,10.36,scattered clouds
161,Rudnogorsk,RU,57.2639,103.7519,26.76,86,100,12.55,overcast clouds
162,Guasdualito,VE,7.2424,-70.7324,88.93,52,100,1.05,overcast clouds
163,Barrow,US,71.2906,-156.7887,10.4,79,1,6.91,clear sky
164,Manicore,BR,-5.8092,-61.3003,83.84,81,100,1.74,overcast clouds
165,Antalaha,MG,-14.9003,50.2788,75.38,90,23,3.53,light rain
166,Piacabucu,BR,-10.4056,-36.4344,78.48,80,100,7.02,light rain
167,Salekhard,RU,66.53,66.6019,9.09,91,98,7.18,overcast clouds
168,Cherskiy,RU,68.75,161.3,16.3,94,100,6.13,light snow
169,Honningsvag,NO,70.9821,25.9704,37.4,81,75,21.85,light rain
170,Acarau,BR,-2.8856,-40.12,81.52,79,92,12.19,moderate rain
171,Rokytne,UA,51.2796,27.214,44.74,97,100,5.17,overcast clouds
172,Golden,US,39.7555,-105.2211,37.4,70,90,9.22,overcast clouds
173,Sisimiut,GL,66.9395,-53.6735,9.37,77,100,22.21,overcast clouds
174,Lamont,US,35.2597,-118.9143,75.99,34,0,5.99,clear sky
175,Flin Flon,CA,54.7682,-101.865,44.6,36,75,6.91,broken clouds
176,Solnechnogorsk,RU,56.1833,36.9833,51.8,62,0,17.9,clear sky
177,The Valley,AI,18.217,-63.0578,84.2,57,20,10.36,few clouds
178,Hobyo,SO,5.3505,48.5268,82.45,64,44,11.92,scattered clouds
179,Katsuura,JP,35.1333,140.3,52.0,66,75,9.22,broken clouds
180,Narsaq,GL,60.9167,-46.05,35.6,44,75,14.97,broken clouds
181,Bozeman,US,45.6796,-111.0386,41.0,56,75,6.91,broken clouds
182,Esperance,AU,-33.8667,121.9,51.8,93,13,5.75,few clouds
183,Sibiti,CG,-3.6819,13.3499,66.78,97,100,5.01,moderate rain
184,Vila Velha,BR,-20.3297,-40.2925,82.0,65,0,12.66,clear sky
185,Bandarbeyla,SO,9.4942,50.8122,80.8,78,43,8.72,scattered clouds
